Molecule,QikProp_.stars,QikProp_.amine,QikProp_.acid,QikProp_.amide,QikProp_.rotor,QikProp_.rtvFG,QikProp_CNS,QikProp_mol_MW,QikProp_dipole,QikProp_SASA,QikProp_FOSA,QikProp_FISA,QikProp_PISA,QikProp_WPSA,QikProp_volume,QikProp_donorHB,QikProp_accptHB,QikProp_dip.2.V,QikProp_ACxDN..5.SA,QikProp_glob,QikProp_QPpolrz,QikProp_QPlogPC16,QikProp_QPlogPoct,QikProp_QPlogPw,QikProp_QPlogPo.w,QikProp_QPlogS,QikProp_CIQPlogS,QikProp_QPlogHERG,QikProp_QPPCaco,QikProp_QPlogBB,QikProp_QPPMDCK,QikProp_QPlogKp,QikProp_IP.eV.,QikProp_EA.eV.,QikProp_.metab,QikProp_QPlogKhsa,QikProp_HumanOralAbsorption,QikProp_PercentHumanOralAbsorption,QikProp_SAfluorine,QikProp_SAamideO,QikProp_PSA,QikProp_.NandO,QikProp_RuleOfFive,QikProp_.ringatoms,QikProp_.in56,QikProp_.noncon,QikProp_.nonHatm,QikProp_RuleOfThree,QikProp_ACxDN..5.SAxSASA.MW
24-dichlorotoluene,5,0,0,0,0,0,1,161.03,2.382,338.293,78.47,0,126.364,133.459,517.246,0,0,0.010969,0,0.9211634,15.753,4.905,4.958,1.439,3.119,-2.705,-3.2,-3.41,9906.038,0.349,10000,-1.074,9.427,0.149,1,0.12,3,100,0,0,0,0,0,6,6,0,9,0,0
dimethoxymethane,14,0,0,0,2,1,-1,76.095,0.37,240.681,240.681,0,0,0,349.038,0,3.4,3.923e-4,0,0.9961044,6.53,2.098,2.606,3.206,-0.008,0.614,1.471,-1.595,9906.038,-0.881,5899.293,-3.088,10.95,-2.656,0,-1.363,3,100,0,0,17.34,2,0,0,0,0,5,0,0
1-heptanol(heptanol),6,0,0,0,6,0,0,116.203,1.992,377.18,320.198,56.982,0,0,579.146,1,1.7,0.0068487,0.0045071,0.8908591,13.171,4.082,5.524,2.83,2.613,-1.764,-0.905,-3.298,2854.586,-0.277,1537.228,-1.994,10.93,-3.009,1,-0.4,3,100,0,0,23.241,1,0,0,0,0,8,0,0.0146295
4-benzoylpyridine,0,0,0,0,2,0,0,183.209,3.469,387.41,0,69.217,318.193,0,634.354,0,3.5,0.0189664,0,0.9216132,20.987,7.061,8.723,6.293,1.767,-1.4,-2.059,-4.318,2185.325,-0.1,1151.666,-1.482,10.147,0.883,2,-0.562,3,100,0,0,38.61,2,0,12,12,0,14,0,0
propargyl,9,0,0,0,2,0,0,56.064,2.392,227.879,103.049,60.66,64.17,0,297.517,1.5,1.7,0.0192329,0.0091367,0.9458044,5.081,1.984,3.978,4.547,0.14,0.568,-0.077,-2.715,2634.262,-0.009,1409.394,-2.219,10.771,-1.791,1,-0.939,3,88.986,0,0,23.521,1,0,0,0,0,4,0,0.0371372
benzyl,7,0,0,0,0,0,1,126.585,2.588,319.876,49.189,0,199.962,70.725,480.92,0,0,0.0139264,0,0.928038,15.002,4.652,4.556,1.874,3.131,-2.599,-2.822,-3.65,9906.038,0.29,10000,-0.815,9.846,0.012,1,0.014,3,100,0,0,0,0,0,6,6,0,8,0,0
1-bromobutane-(butyl,11,0,0,0,2,1,2,137.019,2.511,297.031,217.683,0,0,79.348,430.38,0,0,0.0146546,0,0.9281068,9.786,2.724,2.396,0.02,2.64,-2.534,-2.296,-2.695,9906.038,0.628,10000,-1.327,10.911,0.192,0,-0.218,3,100,0,0,0,0,0,0,0,0,5,0,0
2-hexanone-methyl-n-butyl,6,0,0,0,3,1,1,100.16,3.499,333.535,288.55,44.985,0,0,501.07,0,2,0.0244307,0,0.914722,11.973,3.14,4.142,2.136,1.287,-0.858,-0.272,-2.912,3709.438,0.024,2040.35,-2.061,10.658,-0.878,1,-0.59,3,100,0,0,27.389,1,0,0,0,0,7,0,0
2'3'4'-trichloroacetophenone,3,0,0,0,1,0,2,223.486,5.699,382.061,82.023,40.725,87.327,171.986,609.52,0,2,0.0532947,0,0.9099639,18.431,6.076,7.834,3.319,2.747,-3.23,-3.251,-3.405,4071.046,0.597,10000,-1.866,9.61,0.997,0,-0.19,3,100,0,0,25.448,1,0,6,6,0,12,0,0
trichloroethylene,11,0,0,0,0,0,1,131.389,1.516,261.89,24.155,0,28.312,209.422,366.426,0,0,0.0062745,0,0.9455901,8.781,3.299,2.724,0.615,2.418,-1.941,-1.631,-2.547,9906.038,0.24,10000,-1.42,9.668,-0.045,0,-0.318,3,100,0,0,0,0,0,0,0,0,5,0,0
diisobutyl,1,0,0,0,6,2,0,278.347,3.98,606.723,399.8,52.27,154.652,0,1028.643,0,4,0.0154013,0,0.8122402,32.637,9.165,12.302,5.203,3.876,-4.533,-3.488,-5.308,3163.911,-0.326,1718.04,-1.362,10.23,0.678,0,0.279,3,100,0,0,58.783,4,0,6,6,0,20,0,0
diisopropylether,8,0,0,0,2,0,1,102.176,1.602,333.437,333.437,0,0,0,513.036,0,1.7,0.0050009,0,0.9294994,13.093,3.117,3.943,1.755,1.363,-1.09,-1.696,-2.673,9906.038,0.082,5899.293,-1.327,10.648,-2.723,1,-0.432,3,100,0,0,7.713,1,0,0,0,0,7,0,0
14-dioxane,12,0,0,0,0,0,-1,88.106,0,231.367,231.367,0,0,0,346.046,0,3.4,0,0,1.0302719,7.695,2.547,3.115,3.625,-0.272,1.256,1.502,-1.042,9906.038,-0.899,5899.293,-3.166,10.478,-2.632,2,-1.287,3,96.873,0,0,18.519,2,0,6,6,4,6,0,0
(d)-limonene,7,0,0,0,1,0,2,136.236,0.436,381.851,316.514,0,65.337,0,613.484,0,0,3.095e-4,0,0.9144077,18.38,4.505,4.927,-0.289,3.906,-4.007,-4.202,-3.229,9906.038,0.826,5899.293,-1.193,9.628,-1.181,5,0.356,3,100,0,0,0,0,0,6,6,4,10,0,0
n-nonylamine,4,1,0,0,8,0,1,143.272,1.48,445.744,381.626,64.117,0,0,706.098,2,1,0.0031006,0.0031727,0.8603127,16.967,5.488,7.78,3.377,1.985,-1.132,-0.434,-4.518,609.222,-0.098,320.33,-3.996,9.409,-2.994,2,-0.172,3,88.41,0,0,27.225,1,0,0,0,0,10,0,0.00987082
quinoline,4,0,0,0,0,0,1,129.161,1.807,326.849,0,20.777,306.072,0,501.159,0,1,0.0065173,0,0.9335431,16.825,5.335,5.566,3.714,2.091,-1.336,-1.951,-4.067,6293.195,0.405,3612.727,-0.824,9.213,0.687,1,-0.195,3,100,0,0,11.825,1,0,10,10,0,10,0,0
2-methylpyridine,8,0,0,0,0,0,1,93.128,1.605,290.711,91.606,19.355,179.75,0,424.418,0,1,0.0060696,0,0.9395075,12.548,3.636,3.864,2.758,1.27,-0.238,-0.946,-3.368,6491.697,0.417,3736.053,-1.243,9.929,-0.054,2,-0.417,3,100,0,0,11.579,1,0,6,6,0,7,0,0
chlorobenzene,10,0,0,0,0,0,1,112.558,2.215,288.374,0,0,216.651,71.723,421.193,0,0,0.0116525,0,0.9423141,12.771,4.263,3.803,1.912,2.887,-2.387,-2.448,-3.499,9906.038,0.192,10000,-0.756,9.529,-0.075,0,-0.159,3,100,0,0,0,0,0,6,6,0,7,0,0
pentabromophenol,3,0,0,0,1,0,2,488.593,1.509,393.628,0,39.996,42.962,310.67,633.207,1,0.75,0.0035959,0.0019054,0.9059609,18.955,7.176,8.722,3.322,3.804,-4.264,-9.292,-3.259,4136.362,0.941,10000,-2.009,9.716,1.311,1,0.111,3,100,0,0,20.442,1,0,6,6,0,12,0,0.00153506
p-chloroaniline,5,0,0,0,1,0,1,127.573,4.824,304.205,0,61.647,170.876,71.682,450.899,1.5,1,0.0516151,0.0040261,0.9347997,12.881,4.966,7.294,5.019,1.878,-1.633,-1.604,-3.402,2578.103,0.209,3400.878,-1.958,8.216,-0.363,1,-0.486,3,100,0,0,26.351,1,0,6,6,0,8,0,0.00960046
p-ethylphenol,4,0,0,0,2,0,1,122.166,1.669,337.412,130.017,54.44,152.955,0,515.602,1,0.75,0.0054038,0.0022228,0.9216102,14.657,4.749,5.941,3.704,2.092,-1.059,-1.624,-3.53,3017.496,0.016,1632.267,-1.792,9.067,-0.342,2,-0.259,3,100,0,0,22.469,1,0,6,6,0,9,0,0.00613918
diethylether(ether),10,0,0,0,2,0,1,74.122,1.409,293.006,293.006,0,0,0,413.08,0,1.7,0.0048064,0,0.9154715,9.093,1.809,2.525,1.657,0.89,-0.114,-0.656,-2.9,9906.038,0.001,5899.293,-1.977,10.497,-2.708,1,-0.722,3,100,0,0,8.396,1,0,0,0,0,5,0,0
pentachloropyridine,6,0,0,0,0,0,2,251.327,0.735,364.535,0,18.294,38.864,307.377,569.838,0,1,9.49e-4,0,0.9118568,17.022,6.123,6.6,2.078,4.599,-4.502,-4.306,-3.144,6643.879,1.171,10000,-1.72,9.662,1.036,0,0.005,3,100,0,0,11.926,1,0,6,6,0,11,0,0
isopropanolol-(isopropyl,11,0,0,0,1,0,1,60.096,2.045,244.915,195.372,49.543,0,0,337.242,1,1.7,0.0124004,0.0069412,0.9567036,6.7,1.991,3.6,3.564,0.051,0.385,-0.049,-2.233,3358.005,0.142,1832.237,-2.337,11.103,-3.22,1,-0.784,3,90.354,0,0,22.407,1,0,0,0,0,4,0,0.0282881
nn,6,1,0,0,3,0,2,155.283,0.548,411.323,410.987,0.336,0,0,674.322,0,2,4.449e-4,0,0.9041223,18.906,4.589,6.007,2.019,2.191,-1.257,-0.366,-3.81,2452.542,0.778,1443.308,-3.3,9.037,-2.73,1,-0.087,3,100,0,0,4.43,1,0,6,6,6,11,0,0
1-chloro-3-methylbenzene(m-chlorotoluene),7,0,0,0,0,0,1,126.585,2.486,319.915,87.87,0,160.321,71.724,480.223,0,0,0.0128686,0,0.9270265,14.596,4.36,4.338,1.605,3.123,-2.595,-2.815,-3.477,9906.038,0.368,10000,-0.955,9.454,-0.108,1,0.012,3,100,0,0,0,0,0,6,6,0,8,0,0
dibutyl,1,0,0,0,8,2,0,278.347,3.866,634.209,412.199,62.2,159.81,0,1052.783,0,4,0.0141961,0,0.7891479,32.368,9.506,12.097,4.931,3.971,-4.741,-3.488,-5.706,2547.15,-0.585,1359.086,-1.335,10.228,0.677,0,0.265,3,100,0,0,60.928,4,0,6,6,0,20,0,0
methylacetate,10,0,0,0,0,1,1,74.079,2.338,258.643,192.139,66.504,0,0,356.621,0,2,0.0153228,0,0.9403056,8.118,1.903,2.935,2.764,0.18,0.519,0.282,-2.498,2318.694,0.062,1227.821,-2.745,11.241,-1.111,0,-0.882,3,88.231,0,0,38.529,2,0,0,0,0,5,0,0
2-aminoethanol(monoethanolamine),9,1,0,0,3,0,-1,61.083,2.898,231.03,116.582,114.447,0,0,310.097,3,2.7,0.0270808,0.0202422,0.9590234,4.33,2.597,6.684,7.445,-1.318,1.708,0.67,-2.921,203,-0.048,97.66,-5.403,9.326,-2.86,3,-1.008,2,60.527,0,0,49.433,2,0,0,0,0,4,0,0.0765607
tetrahydrofuran,12,0,0,0,0,0,0,72.107,1.984,234.513,234.513,0,0,0,338.434,0,1.7,0.0116292,0,1.0014944,7.39,2.049,2.218,1.958,0.459,0.548,0.121,-1.508,9906.038,-0.116,5899.293,-2.471,10.743,-3.031,1,-0.854,3,100,0,0,10.222,1,0,5,5,4,5,0,0
4-ethoxybenzaldehyde,1,0,0,0,3,0,0,150.177,3.363,379.694,157.59,75.587,146.517,0,587.486,0,2.75,0.0192563,0,0.8934351,16.83,5.134,6.524,4.191,1.823,-1.774,-1.346,-3.955,1901.54,-0.249,990.901,-2.108,9.357,0.4,1,-0.54,3,96.309,0,0,44.591,2,0,6,6,0,11,0,0
25-dimethyl-24-hexadiene,8,0,0,0,1,0,2,110.199,0.004,361.592,329.304,0,32.288,0,555.67,0,0,0,0,0.9039767,15.75,3.548,3.925,-0.383,3.382,-3.608,-3.6,-3.24,9906.038,0.851,5899.293,-1.31,8.749,-0.369,4,0.189,3,100,0,0,0,0,0,0,0,0,8,0,0
tert-octylamine(2-pentanamine,6,1,0,0,3,0,2,129.245,0.993,337.11,303.677,33.433,0,0,556.217,2,1,0.0017741,0.0041951,0.9702634,14.179,4.719,7.016,4.01,1.265,0.01,-0.162,-2.739,1190.57,0.544,660.864,-3.91,9.252,-3.025,1,-0.35,3,89.401,0,0,19.815,1,0,0,0,0,9,0,0.0109421
nn-dimethylformamide-(dimethylformamide),10,0,0,1,0,0,1,73.094,4.588,259.886,184.695,75.191,0,0,366.398,0,3,0.0574589,0,0.9528353,8.509,2.247,4.248,6.511,-1.01,1.211,1.407,-0.921,982.671,0.011,1000.217,-2.905,9.392,-1.459,0,-1.443,2,74.592,0,36.49,38.574,2,0,0,0,0,5,0,0
n-heptylamine(n-heptanamine),5,1,0,0,6,0,1,115.218,1.475,380.927,316.81,64.117,0,0,586.504,2,1,0.0037116,0.0037126,0.8895513,13.465,4.428,6.693,3.663,1.25,-0.284,0.103,-4.045,609.229,0.06,320.334,-4.188,9.407,-3,2,-0.41,3,84.106,0,0,27.224,1,0,0,0,0,8,0,0.0122744
2-(ethylamine)ethanol(n-ethylaminoethanol),7,1,0,0,4,0,1,89.137,1.403,306.886,241.54,65.346,0,0,443.772,2,3.2,0.0044349,0.0147465,0.9168419,9.037,3.104,6.473,6.101,-0.301,0.914,0.733,-3.604,593.095,0.203,311.175,-4.402,9.195,-2.919,2,-0.85,2,74.817,0,0,36.024,2,0,0,0,0,6,0,0.0507701
1-bromopropane,12,0,0,0,1,1,2,122.992,2.489,264.624,185.277,0,0,79.347,370.586,0,0,0.01672,0,0.9428909,8.035,2.197,1.876,0.163,1.843,-1.784,-1.674,-2.456,9906.038,0.563,10000,-1.423,10.913,0.189,0,-0.349,3,100,0,0,0,0,0,0,0,0,4,0,0
benzophenone,1,0,0,0,2,0,1,182.221,3.837,395.311,0,42.851,352.46,0,648.177,0,2,0.0227149,0,0.9162667,21.868,7.21,8.188,4.888,2.6,-2.574,-2.734,-4.568,3886.363,0.103,2145.738,-0.876,10,0.642,0,-0.12,3,100,0,0,26.347,1,0,12,12,0,14,0,0
14-dimethoxybenzene,6,0,0,0,2,0,0,138.166,2.928,314.004,159.638,0,154.366,0,497.769,0,1.5,0.0172217,0,0.9673463,13.957,4.471,4.619,2.561,1.877,-1.633,-1.709,-2.797,9906.038,-0.174,5899.293,-0.784,8.642,-0.253,2,-0.423,3,100,0,0,16.839,2,0,6,6,0,10,0,0
1-butanol,10,0,0,0,3,0,0,74.122,1.967,279.951,222.969,56.982,0,0,399.754,1,1.7,0.0096795,0.0060725,0.9374437,7.918,2.547,3.919,3.258,0.879,-0.089,-0.215,-2.544,2854.564,-0.05,1537.215,-2.282,10.928,-3.07,1,-0.725,3,93.94,0,0,23.242,1,0,0,0,0,5,0,0.0229352
4-phenylpyridine,2,0,0,0,1,0,1,155.199,2.348,372.598,0,26.056,346.542,0,588.537,0,1.5,0.0093714,0,0.9115359,20.067,6.378,7.03,4.407,2.737,-2.274,-2.392,-4.616,5608,0.294,3189.502,-0.683,9.408,0.577,2,-0.117,3,100,0,0,12.147,1,0,12,12,0,12,0,0
23-dimethyl-13-butadiene,10,0,0,0,1,0,2,82.145,0.549,304.88,245.636,0,59.243,0,452.266,0,0,6.659e-4,0,0.9346145,11.869,2.912,2.677,-0.724,2.669,-2.536,-2.524,-2.873,9906.038,0.684,5899.293,-1.215,9.594,-0.716,2,-0.112,3,100,0,0,0,0,0,0,0,0,6,0,0
methylmethacrylate,7,0,0,0,1,1,1,100.117,2.293,308.253,220.783,51.176,36.294,0,451.547,0,2,0.0116426,0,0.9234057,11.621,2.972,4.019,2.805,0.61,-0.829,-0.271,-2.944,3240.391,0.103,1762.972,-2.239,10.532,0.004,1,-0.649,3,93.348,0,0,34.589,2,0,0,0,0,7,0,0
cyclohexanone,8,0,0,0,0,1,1,98.144,3.891,297.535,244.738,52.797,0,0,443.624,0,2,0.0341258,0,0.9454474,11.6,2.898,4.339,2.764,0.819,-0.626,-0.265,-2.415,3127.738,0.17,1696.818,-2.493,10.49,-0.903,2,-0.629,3,94.297,0,0,28.659,1,0,6,6,5,7,0,0
dibutyladipate,4,0,0,0,11,2,-2,258.357,0.012,658.397,563.717,94.68,0,0,1070.792,0,4,1e-7,0,0.768801,29.636,8.814,10.667,3.461,3.678,-4.809,-2.704,-5.273,1253.273,-1.167,631.431,-2.208,11.14,-1.142,2,0.189,3,100,0,0,71.65,4,0,0,0,0,18,0,0
4-chlorobenzaldehyde,4,0,0,0,1,0,1,140.569,2.646,323.183,18.815,75.628,157.11,71.631,488.7,0,2,0.0143284,0,0.92842,14.262,4.981,5.66,3.854,1.57,-1.298,-1.49,-3.439,1899.848,0.094,2443.454,-2.264,9.756,0.769,0,-0.541,3,94.82,0,0,36.692,1,0,6,6,0,9,0,0
hexachlorocyclohexene(cyclohexene,9,0,0,0,0,6,1,290.831,0,390.485,81.273,0,0,309.213,648.064,0,0,0,0,0.9274823,19.782,6.706,6.909,0.767,3.731,-4.62,-4.562,-2.705,9906.038,0.355,10000,-1.52,10.726,-0.045,0,0.499,3,100,0,0,0,0,0,6,6,6,12,0,0
2-chlorotoluene,7,0,0,0,0,0,1,126.585,1.953,314.126,78.481,0,173.898,61.747,472.891,0,0,0.0080663,0,0.9344761,14.432,4.388,4.201,1.68,3.087,-2.358,-2.739,-3.422,9906.038,0.349,10000,-0.907,9.439,-0.119,1,-0.009,3,100,0,0,0,0,0,6,6,0,8,0,0
n-undecyclamine(1-undecanamine),3,1,0,0,10,0,1,171.325,1.482,510.564,446.446,64.117,0,0,825.694,2,1,0.0026593,0.0027699,0.8336705,20.469,6.6,8.869,3.092,2.747,-1.995,-0.99,-4.95,609.222,-0.256,320.33,-3.804,9.41,-2.99,2,0.073,3,92.873,0,0,27.225,1,0,0,0,0,12,0,0.00825455
12-dichloro,13,0,0,0,0,0,1,98.96,0,252.982,105.128,0,0,147.853,348.358,0,0,0,0,0.9464405,7.787,2.456,1.944,0.38,1.49,-1.305,-1.442,-2.399,9906.038,0.402,10000,-1.52,10.704,-0.375,0,-0.371,3,100,0,0,0,0,0,0,0,0,4,0,0
1-amino-2-propanolol-(monoisopropanolol),9,1,0,0,3,0,0,75.11,2.762,257.523,158.231,99.292,0,0,362.907,3,2.7,0.0210283,0.0181597,0.955461,6.443,3.091,7.248,7.406,-0.961,1.414,0.723,-2.979,282.628,0.056,139.655,-5.124,9.307,-2.863,3,-0.945,2,65.194,0,0,46.468,2,0,0,0,0,5,0,0.0622626
2-ethyl-1-hexanol,5,0,0,0,6,0,0,130.23,1.903,387.517,338.354,49.162,0,0,612.737,1,1.7,0.0059094,0.0043869,0.9003074,14.515,4.479,5.964,2.802,2.488,-1.804,-1.164,-3.145,3386.061,-0.202,1848.789,-1.849,10.849,-3.113,1,-0.307,3,100,0,0,21.76,1,0,0,0,0,9,0,0.0130538
pentafluorobenzaldehyde,7,0,0,0,1,0,1,196.076,2.466,334.349,15.895,70.517,55.313,192.624,513.691,0,2,0.0118373,0,0.9277534,14.29,2.743,6.044,3.196,2.035,-2.406,-2.669,-2.965,2124.144,0.43,10000,-2.528,10.982,1.927,0,-0.468,3,100,192.624,0,35.118,1,0,6,6,0,13,0,0
n-hexylamine(hexylamine),7,1,0,0,5,0,1,101.191,1.505,348.518,284.401,64.117,0,0,526.709,2,1,0.0042976,0.0040578,0.9050096,11.714,3.915,6.153,3.805,0.872,0.133,0.359,-3.795,609.227,0.139,320.333,-4.284,9.406,-3.006,2,-0.526,3,81.894,0,0,27.224,1,0,0,0,0,7,0,0.0139757
4-acetylpyridine,3,0,0,0,1,0,0,121.138,2.948,318.667,81.837,77.03,159.8,0,482.33,0,3.5,0.0180124,0,0.9333783,14.033,4.49,6.104,5.324,0.476,-0.307,-0.382,-3.372,1842.568,-0.086,957.726,-2.28,10.275,0.747,2,-0.961,3,88.176,0,0,40.445,2,0,6,6,0,9,0,0
thymol,3,0,0,0,2,0,1,150.22,1.758,387.35,247.083,43.049,97.219,0,617.842,1,0.75,0.0049995,0.0019362,0.9056896,18.216,5.225,7.008,3.368,3.285,-2.311,-2.191,-3.522,3869.622,0.093,2135.749,-1.778,9.046,-0.336,3,0.025,3,100,0,0,20.343,1,0,6,6,0,11,0,0.00499259
eugenol,2,0,0,0,4,0,0,164.204,2.186,384.001,189.482,51.563,142.956,0,620.145,1,1.5,0.0077054,0.0039062,0.9158579,17.461,5.726,7.256,4.026,2.524,-2.051,-2.242,-3.575,3213.129,-0.087,1746.946,-1.582,8.716,-0.264,3,-0.168,3,100,0,0,30.207,2,0,6,6,0,12,0,0.00913489
4-isopropylbenzaldehyde(cuminaldehyde),2,0,0,0,2,0,0,148.204,3.892,382.478,183.484,75.644,123.351,0,608.368,0,2,0.0249038,0,0.9078261,18.087,5.331,6.664,3.522,1.862,-1.87,-1.652,-3.612,1899.207,-0.169,989.586,-2.287,9.84,0.477,1,-0.236,3,96.527,0,0,36.7,1,0,6,6,0,11,0,0
diphenylamine,1,0,0,0,2,0,1,169.226,1.321,403.151,0,17.502,385.649,0,642.128,1,0.5,0.002717,0.0012402,0.8928504,21.943,7.222,8.461,4.948,3.46,-3.372,-3.02,-5.105,6759.722,0.297,3903.057,-0.292,8.017,-0.095,3,0.132,3,100,0,0,12.861,1,0,12,12,0,13,0,0.00295456
2-cyano-6-methyl-benzonitrile(3-chloro-2-toluonitrile),3,0,0,0,1,0,1,151.595,6.41,345.957,77.223,60.008,144.745,63.98,532.739,0,1.5,0.0771264,0,0.9186549,15.906,5.112,6.673,3.224,1.942,-2.237,-2.956,-3.539,2672.053,0.186,3207.771,-2.02,9.821,0.694,1,-0.279,3,100,0,0,25.324,1,0,6,6,0,10,0,0
3-chloro-1-propanolol,9,0,0,0,2,0,1,94.541,3.998,273.14,142.229,56.982,0,73.929,386.003,1,1.7,0.0414072,0.0062239,0.938658,8.01,2.919,4.791,3.488,0.771,-0.014,-0.527,-2.525,2854.543,0.193,3905.824,-2.378,10.481,-1.011,1,-0.716,3,93.307,0,0,23.242,1,0,0,0,0,5,0,0.0179816
12-dimethylpropylamine(2-butanamine3-methyl),10,1,0,0,2,0,2,87.164,1.37,295.777,248.721,47.056,0,0,444.34,2,1,0.0042245,0.0047814,0.9520889,10.344,3.4,5.772,4.224,0.443,0.841,0.602,-3.033,884.244,0.495,479.16,-4.257,9.35,-3.047,2,-0.607,3,82.279,0,0,24.145,1,0,0,0,0,6,0,0.0162249
tetrachlorophenol,4,0,0,0,1,0,2,231.893,2.364,358.229,0,47.86,71.778,238.591,560.364,1,0.75,0.0099727,0.0020936,0.9175954,16.315,6.261,7.631,3.461,3.503,-2.762,-3.883,-3.208,3483.716,0.71,10000,-2.053,9.368,0.649,1,-0.092,3,100,0,0,21.483,1,0,6,6,0,11,0,0.0032342
dimethylmalonate(methyl,5,0,0,0,2,2,0,132.116,3.577,343.993,241.785,102.208,0,0,510.379,0,4,0.0250668,0,0.8978638,12.987,3.471,5.872,4.741,-0.031,-0.316,-0.023,-3.185,1063.318,-0.402,528.652,-3.211,10.657,-0.957,1,-1.055,3,80.938,0,0,68.554,4,0,0,0,0,9,0,0
